genre,topic,weight,normalized
history,topic_2,0.08508133560636266,0.08042086240370225
history,topic_3,0.0007673316137623732,0.007869407369851297
history,topic_4,0.09140708533056523,0.1299677732222023
history,topic_5,0.059073321945695395,0.17163400158729122
history,topic_6,0.14025528169125784,0.6598270174791816
history,topic_7,0.058965805406980674,0.276340218730446
history,topic_8,0.06442676472347182,0.37085441416744686
history,topic_9,0.17936282625387429,0.99999999442454
horror,topic_0,1.2976909560850193e-05,7.936862035507765e-05
horror,topic_1,0.17640167535494292,0.35053458678980237
horror,topic_10,0.0033244663363070264,0.03148569698961616
horror,topic_11,0.16177302666348728,0.3164357670241581
horror,topic_2,0.19277737124831462,0.18903788250373552
horror,topic_3,1.2976905504337042e-05,7.798023776510368e-05
horror,topic_4,0.08655283384916847,0.12306531360429529
horror,topic_5,0.001423260488536989,0.004119808835662879
horror,topic_6,0.002260002169262539,0.010606995821789516
horror,topic_7,0.21336697962491494,0.99999999531312
horror,topic_8,1.2976950646648853e-05,4.346279149188591e-05
horror,topic_9,0.16208145349935327,0.9036483929352443
mystery,topic_0,2.225302722982734e-05,0.00017688378758380437
mystery,topic_1,0.3625487634976538,0.7270134699743203
mystery,topic_10,0.011936025674317901,0.11317829541691038
mystery,topic_11,0.14944481468540807,0.29232038655670334
mystery,topic_2,0.12225894465535188,0.11791640330523037
mystery,topic_3,2.225320563575477e-05,0.00017379142014136594
mystery,topic_4,0.154607315350701,0.2198347768639045
mystery,topic_5,0.09841033668406118,0.2859358445099241
mystery,topic_6,2.225318992916234e-05,7.916149398514411e-05
mystery,topic_7,0.07926130210972811,0.37146277646963877
mystery,topic_8,0.021443484747651138,0.12341250006505504
mystery,topic_9,2.225317233221121e-05,9.381371363154027e-05
na,topic_0,0.007595282245968742,0.07978833731227694
na,topic_1,0.28951691600144336,0.5793079718297769
na,topic_10,0.0617597500385655,0.5858255067848841
na,topic_11,0.12852208823450212,0.2513931612885758
na,topic_2,0.13201901563460233,0.12775993950795056
na,topic_3,0.09682397993738835,0.9999999896714012
na,topic_4,0.06926736334695083,0.09848639292510766
na,topic_5,0.09606246617537594,0.27911362050865324
na,topic_6,0.031692737876798445,0.14907782887979312
na,topic_7,0.025900830430381293,0.12136864856282542
na,topic_8,0.02065162483608488,0.11885399889136314
na,topic_9,0.040187945241938285,0.22403602078280116
political,topic_0,7.000977250618787e-06,1.6546644677830302e-05
political,topic_1,0.32147862477318234,0.6439499092520158
political,topic_10,0.042242160637966646,0.40067406898033137
political,topic_11,0.04645095102608672,0.0908527112462832
political,topic_2,0.11168541578033893,0.1072524527568205
political,topic_3,7.001002833672601e-06,1.6257536630991333e-05
political,topic_4,0.1599739384890555,0.22746579879158565
political,topic_5,0.18460018871293807,0.5363783092890633
political,topic_6,0.04289284164101332,0.20177044005863878
political,topic_7,0.028116057595158662,0.13175115247357908
political,topic_8,0.03244238332463739,0.18672987645974903
political,topic_9,0.030103436039538235,0.16781024371711126
romance,topic_0,0.023970771169736813,0.251935629729007
romance,topic_1,0.07728197181792705,0.15006690469215223
romance,topic_10,0.1054196190056945,0.9999999905136114
romance,topic_11,0.5112232355049721,0.9999999980438866
romance,topic_2,0.0725050578581665,0.06773703606954781
romance,topic_3,1.252877004426902e-05,7.335162639143466e-05
romance,topic_4,0.008172306512394346,0.011612821526841755
romance,topic_5,0.11347059529702204,0.3296965448529007
romance,topic_6,0.0023603860644150804,0.011079267299558423
romance,topic_7,0.038443753310019896,0.18015582304351452
romance,topic_8,0.04243128814622785,0.24423302024568952
romance,topic_9,0.004708486543379613,0.026221720140212932
scifi,topic_0,0.000410630802389857,0.004259704321362916
scifi,topic_1,0.09050516847690482,0.17681056402076115
scifi,topic_10,1.4172960733041019e-05,8.296761241119721e-05
scifi,topic_11,0.0050895061752772985,0.009945035337199527
scifi,topic_2,0.17346126190712907,0.16955658754185568
scifi,topic_3,1.4172946946849582e-05,9.033366996918037e-05
scifi,topic_4,0.7032694434731561,0.999999998578059
scifi,topic_5,0.01947943690994654,0.05658576881839649
scifi,topic_6,1.417311596235812e-05,4.114754297252389e-05
scifi,topic_7,1.417286211903393e-05,4.099074411350244e-05
scifi,topic_8,0.0005752863182522816,0.0032805099948768485
scifi,topic_9,0.007152574051182699,0.03984863212816259
