top_500_rank,title,author,pub_year,orig_lang,genre,author_birth,author_death,author_gender,author_primary_lang,author_nationality,author_field_of_activity,author_occupation,oclc_holdings,oclc_eholdings,oclc_total_editions,oclc_holdings_rank,oclc_editions_rank,gr_avg_rating,gr_num_ratings,gr_num_reviews,gr_avg_rating_rank,gr_num_ratings_rank,oclc_owi,author_viaf,gr_url,wiki_url,pg_eng_url,pg_orig_url,year,week,rank,title_id,nyt_title,novel_length_chars,novel_length_words,mentions_she,he_counts,she_counts,they_counts,pg_book_id,pub_date
170,Prince Caspian: The Return to Narnia,C.S. Lewis,1951,English,fantasy,1898,1963,male,eng,GB,"science fiction,novels,fiction,childrens literature","scholars,broadcasters,authors",9439.0,432.0,247.0,206.0,367.0,3.98,"435,366","11,713",248,156,2790656012.0,22144877,https://www.goodreads.com/book/show/140222.Prince_Caspian?ref=nav_sb_ss_1_36,https://en.wikipedia.org/wiki/Prince_Caspian,NA_not-pub-domain,,,,,,,,,False,,,,,1951-01-01
171,Sister Carrie,Theodore Dreiser,1900,English,na,1871,1945,male,eng,US,,"political activist,editor,author,political activists,editors,authors",10389.0,4399.0,830.0,163.0,174.0,3.77,"40,062","1,782",413,408,400969.0,4944366,https://www.goodreads.com/book/show/126609.Sister_Carrie?ref=nav_sb_ss_1_13,https://en.wikipedia.org/wiki/Sister_Carrie,https://www.gutenberg.org/cache/epub/233/pg233.txt,,,,,,,918659.0,159518.0,True,2835.0,1917.0,351.0,233,1900-01-01
172,The Silver Chair,C.S. Lewis,1953,English,fantasy,1898,1963,male,eng,GB,"science fiction,novels,fiction,childrens literature","scholars,broadcasters,authors",10306.0,428.0,485.0,165.0,247.0,3.95,"295,811","8,580",277,198,9021031540.0,22144877,https://www.goodreads.com/book/show/65641.The_Silver_Chair?ref=nav_sb_ss_1_16,https://en.wikipedia.org/wiki/The_Silver_Chair,NA_not-pub-domain,,,,,,,,,False,,,,,1953-01-01
173,The Hunger Games,Suzanne Collins,2008,English,scifi,1962,ALIVE,female,eng,US,"young adult fiction,television plays,television authorship,motion picture plays,motion picture authorship","television writers,screenwriters,novelists",10269.0,407.0,212.0,166.0,393.0,4.34,"8,603,378","216,829",22,2,170720867.0,150638554,https://www.goodreads.com/book/show/2767052-the-hunger-games?from_search=true&from_srp=true&qid=XAuY5J89Xg&rank=1,https://en.wikipedia.org/wiki/The_Hunger_Games_(novel),NA_not-pub-domain,,,,,,,,,False,,,,,2008-01-01
174,This Side of Paradise,F. Scott Fitzgerald,1920,English,bildung,1896,1940,male,eng,US,"fiction,short stories,novels","novelists,authors",10059.0,6034.0,612.0,173.0,215.0,3.64,"73,374","4,742",466,357,433248.0,100254195,https://www.goodreads.com/book/show/46165.This_Side_of_Paradise?ref=nav_sb_ss_1_21,https://en.wikipedia.org/wiki/This_Side_of_Paradise,https://www.gutenberg.org/cache/epub/805/pg805.txt,,,,,,,,,False,,,,805,1920-01-01
175,Eugénie Grandet,Honoré de Balzac,1833,French,allegories,1799,1850,male,fre,FR,"literature,drama","novelist,playwright,dramatists,authors french",14071.0,3309.0,2391.0,91.0,43.0,3.79,"23,137","1,184",403,457,266292.0,29529595,https://www.goodreads.com/book/show/59142.Eug_nie_Grandet?ref=nav_sb_ss_1_15,https://en.wikipedia.org/wiki/Eug%C3%A9nie_Grandet,https://www.gutenberg.org/cache/epub/1715/pg1715.txt,https://www.gutenberg.org/cache/epub/11049/pg11049.txt,,,,,,403089.0,68757.0,True,645.0,430.0,176.0,1715,1833-01-01
176,Of Human Bondage,W. Somerset Maugham,1915,English,bildung,1874,1965,male,eng,GB,,"spy,playwright,novelist,intelligence agent",9920.0,2973.0,726.0,178.0,189.0,4.14,"56,881","4,031",109,382,397655.0,66470937,https://www.goodreads.com/book/show/31548.Of_Human_Bondage?ref=nav_sb_ss_1_16,https://en.wikipedia.org/wiki/Of_Human_Bondage,https://www.gutenberg.org/cache/epub/351/pg351.txt,,,,,,,1459206.0,262481.0,True,6576.0,2174.0,1169.0,351,1915-01-01
177,Dream of the Red Chamber,Cao Xueqin,1791,Chinese,na,1717,1763,male,chi,CN,,,6079.0,1765.0,1258.0,451.0,117.0,4.21,"2,140",235,63,497,9463416664.0,100266455,https://www.goodreads.com/book/show/139874.The_Story_of_the_Stone_or_The_Dream_of_the_Red_Chamber_Vol_1,https://en.wikipedia.org/wiki/Dream_of_the_Red_Chamber,https://www.gutenberg.org/cache/epub/9603/pg9603.txt ; https://www.gutenberg.org/cache/epub/9604/pg9604.txt,https://www.gutenberg.org/cache/epub/24264/pg24264.txt,,,,,,,,False,,,,9603,1791-01-01
178,Life of Pi,Yann Martel,2001,English,na,1963,,male,eng,CA,,authors,9834.0,891.0,543.0,184.0,231.0,3.94,"1,616,734","53,171",290,51,54357685.0,85372278,https://www.goodreads.com/book/show/4214.Life_of_Pi?ref=nav_sb_ss_1_10,https://en.wikipedia.org/wiki/Life_of_Pi,NA_not-pub-domain,,,,,,,,,False,,,,,2001-01-01
179,Harry Potter and the Deathly Hallows,J.K. Rowling,2007,English,fantasy,1965,ALIVE,female,eng,GB,"young adult fiction,young adult fantasy,fantasy fiction,fantasy,novels","novelists,authors,writers",11755.0,761.0,404.0,132.0,277.0,4.62,"3,683,808","84,835",1,13,3756773828.0,116796842,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows?ref=nav_sb_ss_1_36,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Deathly_Hallows,NA_not-pub-domain,,,,,,,,,False,,,,,2007-01-01
